Task Name,Status,Priority,Start Date,Due Date,Tags,Description
Setup backend NestJS + TypeORM + SQL Server,Done,High,2026-04-01,2026-04-05,backend;setup,Initialisation du projet NestJS 10 avec TypeORM 0.3 et SQL Server 2022. Configuration des modules de base et de la connexion DB.
Modélisation MCD v2 + script DDL SQL Server,Done,High,2026-04-03,2026-04-08,backend;db,Conception du modèle conceptuel de données version 2 et écriture du script d'initialisation SQL Server.
Authentification LDAP + JWT,Done,Urgent,2026-04-08,2026-04-15,backend;security,"Intégration LDAP via POST 10.10.2.17:8000/users/ldap-authenticate, génération JWT, refresh tokens, guards NestJS."
Module Security : entités User/Role/Permission,Done,High,2026-04-10,2026-04-18,backend;security,Entités sec_user / sec_role / sec_permission / sec_user_role / sec_role_permission avec soft-delete et audit.
Module Référentiel : partenaires/cost-centers/directions,Done,Normal,2026-04-15,2026-04-22,backend;referentiel,CRUD pour les référentiels partenaires (CLIENT/FOURNISSEUR/MIXTE) cost-centers avec budget annuel et directions.
Module Financier : caisses + portefeuilles + devises,Done,High,2026-04-18,2026-04-28,backend;financier,Entités fin_caisse fin_portefeuille fin_devise. CRUD complet ouverture/clôture sessions calcul solde via ledger.
Module Transactionnel : bons + sous-bons,Done,High,2026-04-22,2026-05-03,backend;bons,"Entités trx_bon et trx_sous_bon avec workflow CREE → VALIDE → DECAISSE → COMPTABILISE. Validations contraintes BL/code manutention etc."
Ledger comptable (écritures + opérations),Done,Urgent,2026-04-28,2026-05-08,backend;comptable,Écritures comptables en partie double avec transactions ACID. Vérification équilibre. Calcul solde par compte.
Recharge caisse → portefeuille (ACID),Done,High,2026-05-02,2026-05-06,backend;financier,Endpoint POST /recharge avec transaction TypeORM. Crée 2 écritures équilibrées + 1 opération RECHARGE.
Setup frontend Vite + React 19 + TypeScript,Done,High,2026-04-15,2026-04-20,frontend;setup,Scaffold Vite 6 React 19 TypeScript 5 Tailwind shadcn/ui TanStack Router/Query Zustand React Hook Form Zod.
Page de login avec design pro,Done,High,2026-04-22,2026-04-28,frontend;ui,Modal login avec icône oeil sur mot de passe LDAP integration animation et design corporate bancaire.
Layout principal + sidebar pliable,Done,Normal,2026-04-25,2026-05-02,frontend;ui,"Layout responsive sidebar pliable persistance localStorage topbar avec titre dynamique navigation par sections (Principal/Gestion/Référentiel)."
Self-hosting fonts (DM Sans + Space Grotesk),Done,Low,2026-04-28,2026-04-30,frontend;assets,Téléchargement des 5 woff2 nécessaires et configuration locale pour fonctionnement offline LAN.
Page Caisses & Portefeuilles combinée,Done,High,2026-05-02,2026-05-10,frontend;ui,"Grille de cartes caisses gradient navy clic = expand vers portefeuilles wallet cards. Modals création caisse édition portefeuille soft-delete."
Page Bons (liste + filtres),Done,High,2026-05-05,2026-05-12,frontend;ui,"Tableau bons avec filtres statut (Tous/En attente/Validés/Décaissés) recherche par numéro pagination implicite drill-down depuis dashboard."
Création de bon avec sous-bons,Done,High,2026-05-08,2026-05-15,frontend;ui,Formulaire dynamique avec useFieldArray pour ajouter plusieurs sous-bons. Pré-sélection portefeuille/devise selon l'utilisateur connecté.
Détail bon + workflow validation/signature/décaissement,Done,High,2026-05-12,2026-05-20,frontend;ui,"Page détail bon avec actions par statut: valider imprimer signer (canvas signature) décaisser. Impression dans window popup avec image signature."
Page Utilisateurs + LDAP picker,Done,Normal,2026-05-15,2026-05-22,frontend;ui,Liste utilisateurs avec avatar coloré. Picker LDAP via GET /ldap/users pour importer rapidement. Gestion des rôles via modal.
Page Rôles + matrice permissions,Done,Normal,2026-05-18,2026-05-24,frontend;ui,Master-detail des rôles. Matrice de permissions cochables par module. Édition uniquement pour les admins.
Pages référentiel (directions/partenaires/cost-centers),Done,Normal,2026-05-20,2026-05-26,frontend;ui,CRUD avec formulaires inline et tableaux. Soft-delete avec confirmation.
Module Plan comptable (entité + CRUD + UI),Done,Normal,2026-05-28,2026-06-01,backend;frontend;referentiel,"Entité PlanComptable types ACTIF/PASSIF/CHARGE/PRODUIT support hiérarchie parent. Page UI avec filtres par type recherche et formulaire création."
Demandes d'extension sur bons,Done,High,2026-05-25,2026-05-30,backend;frontend;bons,Champs demandeExtension + descriptionExtension sur Bon. Modal automatique si solde insuffisant. Panneau latéral d'alerte sur la page de création.
Persona switcher + dashboards par rôle (6),Done,Urgent,2026-05-26,2026-06-01,frontend;dashboards,"Dashboards dédiés Demandeur/Validateur/Caissier/Gestionnaire/Admin/SuperAdmin. Switcher pilule segmentée dans la topbar persistance choix utilisateur."
Endpoint /bons/stats (timeline + summary),Done,Normal,2026-05-27,2026-05-30,backend;analytics,"Endpoints GET /bons/stats/timeline?days=N pour sparklines et /bons/stats/summary pour vue agrégée (compteurs âge file top demandeurs délai validation)."
Composant Sparkline réutilisable,Done,Low,2026-05-28,2026-05-29,frontend;components,SVG inline avec area + ligne couleur paramétrable. Utilisé dans toutes les cartes KPI des dashboards.
URL-synced drill-down sur BonsPage,Done,Normal,2026-05-29,2026-05-31,frontend;ux,Filtres URL ?statut=&period=&extension= synchronisés avec l'UI. Bandeau filtre actif avec bouton réinitialiser.
Système notifications avec marquage lu,Done,Normal,2026-05-30,2026-06-02,frontend;ux,Store Zustand persisté localStorage. Cloche topbar avec popover compteur non-lus dot indicateur bouton "Tout lire" auto-mark au clic.
Rôle GESTIONNAIRE_PORTEFEUILLE,Done,High,2026-05-30,2026-06-01,backend;frontend;security,"Nouveau rôle ajouté à RoleCode migration CHECK + INSERT. Champ gestionnaireId sur Portefeuille avec FK et UI dédiée dans modals édition/création."
Page Opérations (journal financier),Done,Normal,2026-05-29,2026-06-01,frontend;ui,Tableau filtrable des opérations (RECHARGE/DECAISSEMENT/TRANSFERT/AJUSTEMENT). Restrictions par persona. Recherche dates filtres KPIs.
RoleGuard + anti-lockout admin,Done,High,2026-06-01,2026-06-02,frontend;security,Composant RoleGuard pour protéger les pages par rôle. Empêche un admin de modifier ses propres rôles (front + back).
Toggle Activer/Désactiver caisses & portefeuilles,Done,Normal,2026-06-02,2026-06-02,backend;frontend;ui,Bouton power sur chaque carte. Endpoint PATCH /toggle-active. Refus de désactiver une caisse OUVERTE.
Filtres serveur sur GET /bons,Done,High,2026-06-02,2026-06-02,backend;perf,"Refactor findAll pour accepter period/typeBonId/demandeurId/extension/search/dateFrom/dateTo via QueryBuilder. Frontend useBons accepte objet filtres."
Demandes de transfert (workflow complet),Done,High,2026-06-02,2026-06-02,backend;frontend;financier,"Entité demande_transfert + workflow CREE → APPROUVEE/REJETEE → EXECUTEE. Endpoints decision/cancel/execute. Page UI avec filtres modal décision actions par statut."
Refonte CaissierDashboard orienté mouvements,Done,High,2026-06-02,2026-06-02,frontend;dashboards,Vue mouvements de caisse : solde par caisse entrées/sorties du mois bons traités avec montant retiré pipeline du jour file à décaisser avec filtres avancés.
,,,,,,
Génération PDF des bons signés,To Do,High,2026-06-03,2026-06-10,backend;pdf,"Génération côté serveur (Puppeteer ou pdfkit) avec en-tête NPG infos demandeur sous-bons signature embarquée. Endpoint GET /bons/:id/pdf."
Export Excel des opérations,To Do,Normal,2026-06-08,2026-06-12,backend;export,"Export filtré du journal opérations en XLSX. Bibliothèque exceljs ou xlsx-populate. Endpoint GET /operations/export?dateFrom=&dateTo=."
Export Excel des bons,To Do,Normal,2026-06-08,2026-06-12,backend;export,"Export des bons avec leurs sous-bons en XLSX. Multi-feuilles : un onglet récap + un onglet par mois."
Notifications email aux validateurs,To Do,High,2026-06-10,2026-06-18,backend;notifications,"Envoi mail SMTP au validateur lors de la création d'un bon CREE et au demandeur lors de validation/refus. Templates HTML branding NPG."
Notifications email pour demandes de transfert,To Do,Normal,2026-06-15,2026-06-20,backend;notifications,Email automatique au gestionnaire de portefeuille concerné et au demandeur sur changement de statut.
Audit log complet,To Do,High,2026-06-12,2026-06-22,backend;security,"Table sec_audit_log avec tous les événements (login validation décaissement modification etc.). Endpoint GET /audit pour SuperAdmin avec filtres."
Page Audit pour SuperAdmin,To Do,Normal,2026-06-22,2026-06-26,frontend;security,Visualisation des logs d'audit avec timeline filtres par user/action/période. Recherche full-text.
Génération auto des numéros bons (format BON-AAAAMMJJ-NNNNN),To Do,Low,2026-06-05,2026-06-07,backend;bons,Vérifier la séquence actuelle et la formaliser. Cas de remise à zéro à minuit.
Tests unitaires backend (services principaux),To Do,High,2026-06-10,2026-06-25,backend;tests,"Couverture des services Bons Caisses Portefeuilles Ledger DemandesTransfert. Cible 70%+."
Tests E2E frontend (Playwright),To Do,Normal,2026-06-20,2026-07-05,frontend;tests,"Scénarios principaux : login création bon validation décaissement transfert. Compatibilité Chrome/Edge/Firefox."
Documentation utilisateur (PDF),To Do,Normal,2026-06-25,2026-07-05,docs,"Manuel utilisateur par rôle (demandeur validateur caissier admin). Captures d'écran workflows complets."
Documentation technique (architecture + déploiement),To Do,Normal,2026-06-25,2026-07-05,docs,"README développeur architecture diagrammes flux modèle de données procédure déploiement."
Préparation environnement de production,To Do,Urgent,2026-07-01,2026-07-08,devops;deploy,"Serveur Windows + SQL Server 2022. Configuration TLS reverse-proxy (IIS ou nginx) variables d'environnement. Sauvegarde quotidienne DB."
Setup CI/CD,To Do,Normal,2026-07-05,2026-07-10,devops;ci,"GitHub Actions ou Azure DevOps : build backend + frontend tests lint déploiement automatique sur staging."
Monitoring + logs centralisés,To Do,Normal,2026-07-08,2026-07-15,devops;monitoring,"Logs structurés (Winston/Pino) collecte centralisée (Seq ou ELK) dashboard santé app (CPU mémoire DB connexions JWT issuance rate échecs LDAP)."
Backup DB automatisé + restauration testée,To Do,Urgent,2026-07-05,2026-07-12,devops;backup,"Job quotidien dump SQL Server (full + log). Rétention 30 jours. Test de restauration mensuel documenté."
Formation utilisateurs clés (3 sessions),To Do,High,2026-07-15,2026-07-22,formation,"Session 1 : Demandeurs (création bons). Session 2 : Validateurs + Caissiers. Session 3 : Admins + SuperAdmin. Support de formation PDF."
Recette + UAT (User Acceptance Testing),To Do,Urgent,2026-07-20,2026-07-30,test;uat,Cycle de recette avec utilisateurs métier. Cahier de tests validation des scénarios critiques. Correction bugs bloquants.
Mise en production,To Do,Urgent,2026-08-01,2026-08-03,deploy;prod,"Déploiement final coupure communiquée bascule DNS vérification post-déploiement support sur-place J+1 et J+2."
Hypercare (2 semaines post go-live),To Do,High,2026-08-04,2026-08-15,support,"Support renforcé en cas d'anomalie correctifs rapides monitoring intensif. Daily standups avec les utilisateurs."
Phase 2 : Mobile app (Expo / React Native),To Do,Low,2026-09-01,2026-10-30,mobile;phase2,"Application mobile compagnon pour validation de bons en mobilité. Réutilise l'API existante. Auth biométrique JWT renouvelé."
Phase 2 : Tableau de bord exécutif (BI),To Do,Low,2026-09-15,2026-11-01,bi;phase2,"Dashboard exécutif avec KPIs financiers (Mensuel/Trimestriel/Annuel) consolidations multi-direction graphiques drilldown."
Phase 2 : Intégration ERP / comptabilité,To Do,Normal,2026-10-01,2026-12-15,integration;phase2,"Export automatique des écritures vers le logiciel comptable. Format pivot (CSV ou XML) ou connecteur direct."
